Region ,Dead,Lon,Lat
Mediterranean,1.00,26.1378,38.3780
Mediterranean,2.00,12.1087,36.4161
Mediterranean,5.00,11.5868,36.6192
Mediterranean,25.00,27.1836,37.3369
Mediterranean,1.00,26.5560,39.1059
Mediterranean,1.00,-5.3726,35.9160
Mediterranean,5.00,26.3345,39.4712
Mediterranean,1.00,-2.9356,35.2783
Mediterranean,<Null>,27.3860,36.8863
Mediterranean,4.00,12.5178,33.1734
Mediterranean,49.00,12.7335,32.9435
Mediterranean,2.00,29.5025,36.1620
Mediterranean,2.00,26.3561,39.3505
Mediterranean,<Null>,12.5964,35.4095
Mediterranean,3.00,-5.3432,35.8700
Mediterranean,1.00,9.1121,39.2202
Mediterranean,2.00,14.9334,35.9124
Mediterranean,4.00,12.4943,32.8163
Mediterranean,<Null>,16.6005,32.2250
Mediterranean,9.00,30.6551,31.5545
Mediterranean,5.00,26.7737,37.8180
Mediterranean,3.00,11.3530,33.2776
Mediterranean,4.00,11.4876,33.1987
Mediterranean,1.00,27.0585,38.4548
Mediterranean,8.00,12.8149,35.5768
Mediterranean,<Null>,25.5969,32.6358
Mediterranean,12.00,13.8648,32.7815
Mediterranean,<Null>,12.5739,32.8407
Mediterranean,2.00,13.6104,33.9425
Mediterranean,<Null>,12.3017,33.0987
Mediterranean,1.00,30.3673,31.4643
Mediterranean,1.00,30.3487,31.4350
Mediterranean,1.00,-5.3062,35.8965
Mediterranean,<Null>,8.0771,38.7774
Mediterranean,5.00,12.6289,32.9506
Mediterranean,<Null>,12.1120,33.6468
Mediterranean,4.00,12.5840,35.4768
Mediterranean,45.00,15.1526,35.1239
Mediterranean,<Null>,12.5007,33.0052
Mediterranean,6.00,12.6134,35.4852
Mediterranean,1.00,13.0548,36.0825
Mediterranean,1.00,14.7947,34.6301
Mediterranean,<Null>,15.3677,36.0906
Mediterranean,10.00,25.0710,33.6662
Mediterranean,1.00,-3.5320,36.5942
Mediterranean,1.00,-5.6060,35.9959
Mediterranean,<Null>,-3.5290,36.7179
Mediterranean,<Null>,-2.1790,36.6419
Mediterranean,1.00,-2.9358,35.1759
Mediterranean,<Null>,-2.4618,36.8287
Mediterranean,1.00,-2.9262,35.2806
Mediterranean,2.00,13.1151,33.8723
Mediterranean,1.00,13.8782,34.0464
North Africa,9.00,34.6901,30.1375
North Africa,<Null>,-16.0459,25.2447
North Africa,<Null>,-17.1536,24.7889
North Africa,<Null>,-16.9358,20.7462
North Africa,6.00,32.9331,24.0088
North Africa,2.00,29.3555,18.5663
North Africa,2.00,31.5171,22.0181
North Africa,1.00,31.5171,22.0181
North Africa,2.00,36.5613,15.5069
North Africa,1.00,28.9381,19.3351
North Africa,2.00,34.0085,17.7015
North Africa,2.00,39.4217,14.5707
North Africa,2.00,34.0429,17.6931
North Africa,3.00,32.7063,21.8835
North Africa,1.00,33.0249,24.2485
North Africa,2.00,31.3355,30.0687
North Africa,5.00,36.1461,12.9535
North Africa,1.00,33.0029,30.2607
North Africa,2.00,36.1161,12.9539
North Africa,7.00,14.6311,27.0205
North Africa,1.00,35.3687,14.0243
North Africa,4.00,21.7529,22.2751
North Africa,7.00,22.1429,23.2013
North Africa,1.00,36.1519,13.0075
North Africa,3.00,14.6559,26.9251
North Africa,3.00,36.1285,12.9393
North Africa,6.00,22.3285,23.4749
North Africa,2.00,35.4199,13.9319
North Africa,3.00,21.8149,23.3227
North Africa,2.00,32.3603,24.0173
North Africa,1.00,47.1313,8.5547
North Africa,3.00,14.4635,26.9577
North Africa,2.00,36.1877,12.9527
North Africa,1.00,13.6421,32.4279
North Africa,3.00,36.1485,12.9615
North Africa,6.00,20.1403,30.2147
North Africa,5.00,21.8537,23.3091
North Africa,1.00,28.6523,18.7361
North Africa,3.00,36.4169,15.4737
North Africa,6.00,20.1403,30.2147
North Africa,1.00,33.4497,16.6743
North Africa,25.00,22.1801,23.1797
North Africa,1.00,35.4419,14.0077
North Africa,3.00,21.7859,23.1443
North Africa,1.00,36.4667,15.4753
North Africa,6.00,14.5899,26.9447
North Africa,3.00,36.1485,12.9615
North Africa,1.00,23.2251,23.1637
North Africa,2.00,29.0919,17.8599
North Africa,3.00,32.3987,15.5283
North Africa,2.00,33.2667,23.5699
North Africa,1.00,35.4199,14.0049
North Africa,1.00,32.9755,24.0523
North Africa,1.00,34.0085,17.7015
North Africa,1.00,32.4807,15.6477
North Africa,1.00,31.1243,22.1279
North Africa,1.00,34.0287,18.0239
North Africa,6.00,35.3787,14.0161
North Africa,11.00,21.4233,21.4971
North Africa,1.00,24.8539,12.0771
North Africa,20.00,22.2363,21.8035
North Africa,1.00,24.8621,12.0355
North Africa,5.00,14.4375,26.9847
North Africa,1.00,32.6321,15.5987
North Africa,3.00,22.6979,22.0277
North Africa,2.00,31.0693,22.0771
North Africa,6.00,32.4125,23.9315
North Africa,9.00,33.4425,17.5845
North Africa,1.00,25.1367,20.6977
North Africa,3.00,32.6397,15.5359
North Africa,2.00,35.3767,14.0195
North Africa,5.00,33.1787,30.7949
North Africa,1.00,32.4977,24.1885
North Africa,2.00,35.4111,14.0169
North Africa,21.00,24.2799,20.2861
North Africa,2.00,24.8773,11.9859
North Africa,3.00,14.4113,26.9871
North Africa,1.00,24.9073,12.0315
North Africa,11.00,23.2691,21.0263
North Africa,5.00,32.7173,15.4131
North Africa,2.00,36.1475,12.9587
North Africa,2.00,35.3801,14.0151
North Africa,10.00,23.9283,20.3685
North Africa,1.00,20.1957,30.2405
North Africa,1.00,36.1501,12.9603
North Africa,3.00,14.4917,26.9609
North Africa,8.00,24.0381,21.9259
North Africa,2.00,31.3883,21.8005
North Africa,3.00,32.4537,23.2849
North Africa,5.00,33.9587,19.0637
North Africa,7.00,32.6843,23.8113
North Africa,2.00,32.7833,30.5841
North Africa,3.00,34.1125,19.2505
North Africa,2.00,33.2557,19.7373
North Africa,3.00,32.5559,15.4827
North Africa,3.00,30.1589,18.4449
North Africa,1.00,32.7943,24.0723
North Africa,2.00,34.2115,20.7167
North Africa,2.00,31.4595,29.5503
North Africa,5.00,31.3713,21.7991
North Africa,3.00,33.2371,19.5365
North Africa,2.00,32.5599,15.5007
North Africa,2.00,30.1589,18.4449
North Africa,1.00,32.8999,24.0889
